brand,product_name,full_price_usd,sale_price_usd,image_url
Staud,Joy Cotton-Blend Flared A-Line Minidress,$395,$300,/static/images/joy_cottonblend_flared_aline_minidress.jpg
The Attico,Poplin Cotton Gathered Minidress,"$1,550",$300,/static/images/poplin_cotton_gathered_minidress.jpg
ALICE + OLIVIA,Meeko Cotton Mini Shirtdress,$395,$300,/static/images/meeko_cotton_mini_shirtdress.jpg
Proenza Schouler,Blanca Compact Ruffle Dress,"$2,290",$595,/static/images/blanca_compact_ruffle_dress.jpg
SIMKHAI,Eloise Lace Maxi Dress,$595,$595,/static/images/eloise_lace_maxi_dress.jpg
Staud,Calla Halter Maxi Dress,$550,$300,/static/images/calla_halter_maxi_dress.jpg
Amsale,One-Shoulder Bow Back Satin Dress,$675,$300,/static/images/oneshoulder_bow_back_satin_dress.jpg
Zimmermann,Daylight Waisted Linen Maxi Dress,"$1,750","$1,750",/static/images/daylight_waisted_linen_maxi_dress.jpg
Likely,Riello Textured Minidress,$278,$300,/static/images/riello_textured_minidress.jpg
Likely,Marie Bow Minidress,$248,$92.99,/static/images/marie_bow_minidress.jpg
Reformation,Linda Satin Dress,$398,$348,/static/images/linda_satin_dress.jpg
Reformation,Jeany Silk Maxi Dress,$348,$218,/static/images/jeany_silk_maxi_dress.jpg
Reformation,Rhia Cotton-Blend Knit Minidress,$218,"$3,900",/static/images/rhia_cottonblend_knit_minidress.jpg
Alaïa,Asymmetrical Cotton Minidress,"$3,900","$1,560",/static/images/asymmetrical_cotton_minidress.jpg
SACHIN BABI,Ophelia Bow-Detailed Minidress,$795,$300,/static/images/ophelia_bowdetailed_minidress.jpg
Amsale,Satin Mini Fit & Flare Cocktail Dress,$795,$300,/static/images/satin_mini_fit_and_flare_cocktail_dress.jpg
Bronx Banco,Mademoiselle Bridal Midi-Dress,$880,$300,/static/images/mademoiselle_bridal_mididress.jpg
Prada,Natté Minidress,"$3,850",$428,/static/images/natte_minidress.jpg
Ronny Kobo,Tuberose Cotton-Blend Halterneck Minidress,$428,$160.49,/static/images/tuberose_cottonblend_halterneck_minidress.jpg
Self-Portrait,Crêpe 3D Flower Minidress,$630,$780,/static/images/crpe_3d_flower_minidress.jpg
Bronx Banco,Jasmine Blanc Floral Appliqué Column Gown,$780,$300,/static/images/jasmine_blanc_floral_applique_column_gown.jpg
Bronx Banco,Megan Long-Sleeve Minidress,$480,$300,/static/images/megan_longsleeve_minidress.jpg
PatBO,Jade Embellished Halterneck Midi-Dress,$895,$895,/static/images/jade_embellished_halterneck_mididress.jpg
Mac Duggal,Embellished Lace Ruffled Sweetheart Midi-Dress,$458,$435,/static/images/embellished_lace_ruffled_sweetheart_mididress.jpg
Acler,Leven Embroidered Pleated Cotton Minidress,$435,$300,/static/images/leven_embroidered_pleated_cotton_minidress.jpg
Staud,Dena Stretch-Cotton Sleeveless Minidress,$295,$110.62,/static/images/dena_stretchcotton_sleeveless_minidress.jpg
Sabina Musáyev,Georgia Lace-Trimmed Sleeveless Minidress,$365,$300,/static/images/georgia_lacetrimmed_sleeveless_minidress.jpg
Reformation,Zenni Satin Minidress,$248,"$5,190",/static/images/zenni_satin_minidress.jpg
Oscar de la Renta,Foxgloves Guipure Lace Minidress,"$5,190","$5,190",/static/images/foxgloves_guipure_lace_minidress.jpg
Staud,Gia Sleeveless Maxi Dress,$795,$298.12,/static/images/gia_sleeveless_maxi_dress.jpg
Carolina Herrera,Draped One-Shoulder Column Gown,"$4,290",$750,/static/images/draped_oneshoulder_column_gown.jpg
SACHIN BABI,Farah Rose-Appliqué A-Line Minidress,$750,$300,/static/images/farah_roseapplique_aline_minidress.jpg
Teri Jon by Rickie Freeman,Crepe 3D Flower Imitation Pearl-Trim Minidress,$770,"$1,200",/static/images/crepe_3d_flower_imitation_pearltrim_minidress.jpg
Bronx Banco,Jasmine Floral Appliqué Mermaid Gown,"$1,200",$300,/static/images/jasmine_floral_applique_mermaid_gown.jpg
Hervé Léger,Cassia Pointelle-Knit Midi-Dress,$795,$300,/static/images/cassia_pointelleknit_mididress.jpg
Area,Core Crystal Bow V-Neck T-Shirt Dress,$695,$300,/static/images/core_crystal_bow_vneck_tshirt_dress.jpg
As It May,Alessie Lace Minidress,$445,$300,/static/images/alessie_lace_minidress.jpg
Self-Portrait,Bow-Detailed Floral Lace Sleeveless Minidress,$630,$248,/static/images/bowdetailed_floral_lace_sleeveless_minidress.jpg
Hill House Home,The Rosetta Nap Dress,$248,$845,/static/images/the_rosetta_nap_dress.jpg
SIMKHAI,McCall Crocheted Long-Sleeve Minidress,$845,$398,/static/images/mccall_crocheted_longsleeve_minidress.jpg
Mac Duggal,Classic Taffeta A-Line Gown,$398,$398,/static/images/classic_taffeta_aline_gown.jpg
Badgley Mischka,Origami Sleeve Dress,$465,$300,/static/images/origami_sleeve_dress.jpg
Likely,Drop 11 Seraphine Tweed Minidress,$328,$300,/static/images/drop_11_seraphine_tweed_minidress.jpg
Khaite,Lowen Front-Slit Sleeveless Column Gown,"$3,400",$425,/static/images/lowen_frontslit_sleeveless_column_gown.jpg
Loulou de Saison,Icaria Rib-Knit Midi-Dress,$425,$300,/static/images/icaria_ribknit_mididress.jpg
Rebecca Vallance,Pearly Embellished Crepe Minidress,$770,$300,/static/images/pearly_embellished_crepe_minidress.jpg
Nili Lotan,Della Lace Maxi Dress,$650,$650,/static/images/della_lace_maxi_dress.jpg
Oscar de la Renta,Porcelain Flowers Poplin Balloon-Sleeve Maxi Dress,"$3,890","$6,995",/static/images/porcelain_flowers_poplin_balloonsleeve_maxi_dress.jpg
Monique Lhuillier,Mirror Embellished Tulle Minidress,"$6,995",$300,/static/images/mirror_embellished_tulle_minidress.jpg
